SUBJECT,NBR,COURSE NAME,PROF,TOTAL,A+,A,A-,B+,B,B-,C+,C,C-,D,F,W,AVG GPA
CSCI,340,Operating Systems Principles,"SVADLENKA, J",37,1,3,3,2,1,5,4,1,1,1,2,13,2.671
CSCI,340,Operating Systems Principles,"SVADLENKA, J",29,2,2,1,3,3,2,1,1,0,2,2,10,2.647
CSCI,340,Operating Systems Principles,"FLUTURE, S",37,0,0,4,4,3,7,6,3,0,0,2,8,2.61
CSCI,340,Operating Systems Principles,"SVADLENKA, J",33,2,0,1,0,2,3,3,2,2,4,1,13,2.205
CSCI,340,Operating Systems Principles,"FLUTURE, S",37,0,1,2,0,0,4,5,7,0,0,3,13,2.168
CSCI,343,Computer Architecture,"RAHMAN, M",34,2,2,6,3,9,5,5,1,0,0,1,0,3.003
CSCI,343,Computer Architecture,"FLUTURE, S",31,2,4,0,0,2,1,2,2,0,0,2,16,2.753
CSCI,343,Computer Architecture,"FLUTURE, S",70,1,9,2,3,1,4,5,2,0,0,5,38,2.706
CSCI,343,Computer Architecture,"SMITH-THOMPSON, A",32,3,4,4,4,2,1,1,3,0,0,6,3,2.607
CSCI,343,Computer Architecture,"UPADHYAY, V",32,0,2,2,1,1,0,2,10,0,0,1,13,2.437
CSCI,343,Computer Architecture,"SMITH-THOMPSON, A",32,2,3,4,2,3,0,0,5,0,0,8,5,2.237
CSCI,343,Computer Architecture,"UPADHYAY, V",32,1,0,1,1,1,0,4,8,0,0,9,7,1.568
CSCI,344,Distributed Systems,"FLUTURE, S",22,1,1,0,0,1,2,2,3,0,0,1,10,2.455
CSCI,348,Data Communications,"RAHMAN, M",26,0,2,5,3,6,3,1,4,0,0,1,1,2.912
CSCI,355,Internet and Web Technologies,"FRIED, M",45,0,8,5,10,7,9,4,0,0,0,0,2,3.209
CSCI,355,Internet and Web Technologies,"LAW, R",24,2,2,1,1,4,1,3,3,0,0,1,6,2.811
CSCI,355,Internet and Web Technologies,"LAW, R",22,2,1,2,2,2,0,1,1,0,0,5,5,2.269
CSCI,355,Internet and Web Technologies,"LAW, R",33,2,2,1,2,2,1,1,2,0,0,10,10,1.796
CSCI,370,Software Engineering,"GREENBERG, A",29,1,8,0,5,9,0,1,0,1,0,0,4,3.34
CSCI,370,Software Engineering,"GREENBERG, A",35,0,10,0,7,11,1,1,3,0,1,0,1,3.179
CSCI,370,Software Engineering,"GREENBERG, A",30,1,5,1,5,6,1,5,4,0,0,1,1,2.91
CSCI,370,Software Engineering,"ABREU, A",32,0,3,1,5,5,6,4,1,0,1,5,1,2.439
CSCI,370,Software Engineering,"ABREU, A",21,0,1,0,2,2,0,2,1,3,5,1,4,1.959
CSCI,381,VT: Special Topics in Comp Sci,"PHILLIPS, T",16,2,4,4,0,0,1,1,0,0,0,1,3,3.369
CSCI,381,VT: Special Topics in Comp Sci,"HELLER, P",33,1,8,0,7,2,5,2,1,0,0,0,7,3.277
CSCI,381,VT: Special Topics in Comp Sci,"RODAY, R",39,2,7,7,3,7,4,1,4,0,0,0,4,3.254
CSCI,381,VT: Special Topics in Comp Sci,"WAXMAN, J",30,11,3,3,1,1,1,1,3,0,0,2,4,3.246
CSCI,381,VT: Special Topics in Comp Sci,"GOLDBERG, R",32,0,5,3,4,7,2,3,3,0,0,0,5,3.096
CSCI,381,VT: Special Topics in Comp Sci,"GOLDBERG, R",33,0,10,2,3,0,4,3,6,0,1,0,4,3.034
CSCI,381,VT: Special Topics in Comp Sci,"TSAI, C",16,0,1,0,0,3,1,1,0,0,0,1,9,2.571
CSCI,381,VT: Special Topics in Comp Sci,"ROZOVSKAYA, A",20,0,1,0,2,3,0,2,6,0,0,1,5,2.413
CSCI,381,VT: Special Topics in Comp Sci,"GRYAK, J",29,0,1,1,0,4,4,0,3,0,0,3,13,2.281
CSCI,381,VT: Special Topics in Comp Sci,"ROZOVSKAYA, A",29,0,1,1,5,1,3,1,3,0,0,5,9,2.18
CSCI,381,VT: Special Topics in Comp Sci,"BROWN, T",27,0,0,0,2,2,4,1,12,0,0,3,3,2.071
MATH,120,Discrete Math Comp Sci,"TERILLA, J",25,1,6,4,1,4,1,0,4,1,0,1,2,3.065
MATH,120,Discrete Math Comp Sci,"GOLDMAN, S",28,0,5,3,6,3,3,0,3,1,0,1,3,3.028
MATH,120,Discrete Math Comp Sci,"GONZALEZ, R",30,3,3,1,2,1,2,2,5,2,1,0,7,2.805
MATH,120,Discrete Math Comp Sci,"LEE, H",25,2,0,1,2,2,7,2,2,3,2,0,2,2.561
MATH,120,Discrete Math Comp Sci,"LEE, D",30,0,0,4,7,2,0,1,1,4,3,1,7,2.522
MATH,120,Discrete Math Comp Sci,"TOBAR, J",35,0,4,2,4,1,0,1,2,1,2,3,15,2.48
MATH,120,Discrete Math Comp Sci,"GONZALEZ, R",35,3,2,0,5,2,0,3,3,3,2,3,9,2.404
MATH,120,Discrete Math Comp Sci,"BERGER, K",35,3,0,4,2,2,5,2,2,1,4,3,7,2.4
MATH,120,Discrete Math Comp Sci,"SABITOVA, M",29,1,2,0,0,2,0,0,8,0,2,3,11,2
MATH,120,Discrete Math Comp Sci,"GONZALEZ, R",30,1,1,0,0,1,3,1,1,3,4,3,12,1.806
MATH,120,Discrete Math Comp Sci,"SHEN, T",28,1,0,2,1,0,1,2,1,5,5,3,7,1.786
MATH,120,Discrete Math Comp Sci,"BOTEJU, W",35,1,2,2,0,1,3,2,3,1,3,8,9,1.762
MATH,122,Precalculus,"CAI, A",25,5,3,4,1,1,2,0,2,0,0,0,0,3.472
MATH,122,Precalculus,"BROGES, A",20,2,2,1,1,3,3,0,1,0,3,0,4,2.819
MATH,122,Precalculus,"LIU, Z",23,3,1,0,3,1,4,2,0,4,0,1,4,2.689
MATH,122,Precalculus,"COLON, C",25,2,3,2,1,0,2,1,1,0,2,2,9,2.65
MATH,122,Precalculus,"SPITZ, H",30,3,3,2,1,1,1,2,1,5,2,2,7,2.5
